,part_of_speech,absolute_frequency,mean_frequency,relative_frequency,standard_deviation,confidence_interval_2sd,coefficient_of_variation,confidence_interval_2s,coef_of_var,max_coeff_of_var,coefficient_of_stability,relative_error,standard_error
0,NOUN,4288,214.4,0.2144,43.689129082644804,"(127.0217418347104, 301.7782581652896)",9.76918625065568,"(194.86162749868865, 233.93837250131136)",0.20377392296009703,4.358898943540674,0.953251055920426,0.029931513867294778,10.02297361066066
1,ADJ,1687,84.35,0.08435,29.626466208442746,"(25.0970675831145, 143.6029324168855)",6.624679237517843,"(71.1006415249643, 97.59935847503569)",0.3512325573022258,4.358898943540674,0.9194217251072757,0.047719790687266374,6.796777487201291
2,NUM,76,3.8,0.0038,2.4617067250182343,"(-1.1234134500364688, 8.723413450036468)",0.5504543577809153,"(2.699091284438169, 4.9009087155618305)",0.6478175592153248,4.358898943540674,0.8513804592383802,0.2248274191931505,0.5647542548941553
3,PRON,1279,63.95,0.06395,21.169494561750877,"(21.61101087649825, 106.28898912350175)",4.733642888938708,"(54.48271422212259, 73.41728577787742)",0.33103197125490036,4.358898943540674,0.9240560573799383,0.05480507786521568,4.856615130552943
4,DET,1084,54.2,0.0542,11.53082824431966,"(31.138343511360684, 77.26165648863932)",2.578371579117331,"(49.04325684176534, 59.356743158234664)",0.21274590856678338,4.358898943540674,0.951192741258192,0.05953076044461712,2.6453534238059957
5,VERB,2850,142.5,0.1425,30.7514227313144,"(80.9971545373712, 204.00284546262878)",6.876227163205124,"(128.74754567358974, 156.25245432641026)",0.21579945776360981,4.358898943540674,0.9504922090282921,0.03671416381400241,7.054860213468367
6,AUX,212,10.6,0.0106,3.826225293941799,"(2.947549412116402, 18.252450587883597)",0.8555699854482977,"(8.888860029103405, 12.311139970896594)",0.3609646503718678,4.358898943540674,0.9171890298336072,0.13461335266971525,0.8777962837637636
7,ADV,1265,63.25,0.06325,11.330820799924425,"(40.58835840015115, 85.91164159984885)",2.5336485549499557,"(58.18270289010009, 68.31729710989991)",0.17914341185651264,4.358898943540674,0.9589016827008618,0.055107512597322265,2.5994685691704875
8,SCONJ,599,29.95,0.02995,8.002968199362034,"(13.944063601275932, 45.95593639872406)",1.7895180915542594,"(26.370963816891482, 33.529036183108516)",0.26721095824247193,4.358898943540674,0.9386976019165473,0.08008342895165281,1.836006822599409
9,CCONJ,1467,73.35,0.07335,10.155171096539929,"(53.03965780692013, 93.66034219307986)",2.270765289500436,"(68.80846942099912, 77.89153057900087)",0.13844814037545916,4.358898943540674,0.9682378182727495,0.05117301606587988,2.329756029693825
10,ADP,2461,123.05,0.12305,11.582206180171376,"(99.88558763965725, 146.21441236034275)",2.589860034828137,"(117.87027993034373, 128.22972006965628)",0.09412601527973487,4.358898943540674,0.978406011128288,0.03950938454194624,2.6571403306641717
11,PART,692,34.6,0.0346,8.206095295571457,"(18.18780940885709, 51.01219059114291)",1.8349386910739005,"(30.9301226178522, 38.269877382147804)",0.23717038426507098,4.358898943540674,0.9455893822414656,0.07450802028443114,1.88260737444529
12,INTJ,2,0.1,0.0001,0.30000000000000004,"(-0.5000000000000001, 0.7000000000000001)",0.0670820393249937,"(-0.034164078649987384, 0.2341640786499874)",3.0000000000000004,4.358898943540674,0.3117527983883147,1.3859292911256331,0.06882472016116853
13,PROPN,2030,101.5,0.1015,42.08384488137936,"(17.332310237241273, 185.66768976275873)",9.410233790932082,"(82.67953241813584, 120.32046758186416)",0.4146191613929001,4.358898943540674,0.9048798408122509,0.04350188263861058,9.65469615755653
14,NONE,0,0.0,0.0,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",,4.358898943540674,,0.0,0.0
15,NOUN,3808,190.4,0.1904,35.89066731059761,"(118.61866537880479, 262.1813346211952)",8.02539718643258,"(174.34920562713484, 206.45079437286518)",0.18850140394221432,4.358898943540674,0.9567548120789657,0.03176198245405606,8.23388378016493
16,ADJ,620,31.0,0.031,12.521980673998822,"(5.956038652002356, 56.043961347997644)",2.8,"(25.4, 36.6)",0.4039348604515749,4.358898943540674,0.907330987553599,0.07871549423244488,2.872739385838431
17,NUM,189,9.45,0.00945,9.901893758266647,"(-10.353787516533295, 29.253787516533293)",2.2141307549465092,"(5.021738490106981, 13.878261509893019)",1.047819445319222,4.358898943540674,0.7596137329882457,0.14256902162084836,2.2716502232610774
18,PRON,2341,117.05,0.11705,18.508038793994356,"(80.0339224120113, 154.0660775879887)",4.138523287357461,"(108.77295342528508, 125.32704657471491)",0.1581207927722713,4.358898943540674,0.9637246022859544,0.040509358377906486,4.246035302429042
19,DET,1418,70.9,0.0709,15.677691156544704,"(39.5446176869106, 102.25538231308941)",3.5056383156281252,"(63.888723368743754, 77.91127663125626)",0.22112399374534136,4.358898943540674,0.949270676698523,0.05204966706935818,3.596709022074719
20,VERB,3068,153.4,0.1534,21.258880497335696,"(110.88223900532861, 195.9177609946714)",4.753630191758715,"(143.89273961648257, 162.90726038351744)",0.13858461862669944,4.358898943540674,0.9682065080145839,0.035385749089031825,4.8771216705628415
21,AUX,253,12.65,0.01265,4.952524608722303,"(2.744950782555394, 22.555049217444605)",1.1074181685343618,"(10.435163662931277, 14.864836337068724)",0.3915039216381267,4.358898943540674,0.9101828405041863,0.12322414423853857,1.1361870676220438
22,ADV,627,31.35,0.03135,11.332585759657855,"(8.684828480684292, 54.015171519315714)",2.5340432119441054,"(26.28191357611179, 36.41808642388821)",0.3614859891437912,4.358898943540674,0.9170694265166512,0.07827486025542542,2.599873478702984
23,SCONJ,645,32.25,0.03225,5.973901572674261,"(20.302196854651477, 44.19780314534852)",1.3358050007392546,"(29.57838999852149, 34.92161000147851)",0.18523725806741892,4.358898943540674,0.9575036585002925,0.07717492463389945,1.3705070133655683
24,CCONJ,2751,137.55,0.13755,15.13101120216359,"(107.28797759567283, 167.8120224043272)",3.38339696163486,"(130.7832060767303, 144.31679392326973)",0.11000371648246884,4.358898943540674,0.9747634166546852,0.03736893976329913,3.4712920391480506
25,ADP,1875,93.75,0.09375,13.235841491949047,"(67.27831701610191, 120.22168298389809)",2.9596241315410303,"(87.83075173691793, 99.66924826308207)",0.1411823092474565,4.358898943540674,0.9676105569144542,0.04526426110446666,3.0365102892699216
26,PART,793,39.65,0.03965,10.056216982543683,"(19.537566034912633, 59.76243396508737)",2.248638476945549,"(35.1527230461089, 44.147276953891094)",0.25362464016503616,4.358898943540674,0.9418145170488811,0.06960164077438663,2.307054399011865
27,INTJ,17,0.85,0.00085,0.9630680142129111,"(-1.0761360284258221, 2.7761360284258223)",0.21534855467358027,"(0.41930289065283943, 1.2806971093471606)",1.13302119319166,4.358898943540674,0.7400671114730357,0.4753698250712126,0.2209429552479196
28,PROPN,1588,79.4,0.0794,32.056824546420685,"(15.286350907158635, 143.51364909284138)",7.168123882858051,"(65.0637522342839, 93.73624776571612)",0.4037383444133587,4.358898943540674,0.9073760714247237,0.04918479009639257,7.354339928876939
29,NONE,0,0.0,0.0,0.0,"(0.0, 0.0)",0.0,"(0.0, 0.0)",,4.358898943540674,,0.0,0.0
